name,description,origin,img_url,additional_info
Basilisco,Serpente gigante con sguardo pietrificante,Mitologia europea (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/f/f2/Basilisco_Camera.png/revision/latest?cb=20130221171755&path-prefix=it,"Il basilisco è una creatura leggendaria nata da un uovo di gallina covato da un rospo. Il suo sguardo è letale per chiunque lo incontri direttamente, pietrificando all'istante. Solo il canto del gallo è fatale per il basilisco."
Ippogrifo,Creatura metà cavallo e metà aquila,Mitologia greca (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/9/9d/Buckbeak_PM.png/revision/latest?cb=20161104115255&path-prefix=it,"L'ippogrifo è una creatura fiera e orgogliosa. Richiede rispetto e un inchino prima di essere avvicinato. È estremamente pericoloso se offeso."
Fenice,Uccello che rinasce dalle proprie ceneri,Mitologia egizia (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/a/ae/Fawkes_HP.png/revision/latest?cb=20161104115317&path-prefix=it,"La fenice è un uccello immortale associato al fuoco. Le sue lacrime hanno poteri curativi e il suo canto è magico. È estremamente leale e può trasportare carichi pesanti."
Sfinge,"Creatura con corpo di leone, ali d'uccello e testa umana",Mitologia egizia (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/8/8a/Sfinge_HP.png/revision/latest?cb=20161104115242&path-prefix=it,"La sfinge è nota per i suoi enigmi. Nel mondo di Harry Potter, le sfingi sono utilizzate come guardiani e testano l'intelligenza di chi cerca di passare."
Thestral,Cavallo alato scheletrico visibile solo a chi ha visto la morte,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/a/a4/Thestral_HP.png/revision/latest?cb=20161104115230&path-prefix=it,"I thestral sono considerati di cattivo auspicio da molti maghi, ma sono creature gentili e intelligenti. Possono volare molto velocemente e hanno un senso dell'orientamento infallibile."
Acromantula,Ragno gigante intelligente,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/7/7e/Aragog_HP.png/revision/latest?cb=20161104115259&path-prefix=it,"Le acromantule sono ragni enormi e pericolosi, noti per la loro aggressività e veleno mortale. Sono creature sociali che vivono in colonie e producono una seta molto resistente."
Kelpie,Demone acquatico mutaforma,Mitologia celtica (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/b/b5/Kelpie_Loch_Ness.jpg/revision/latest?cb=20130509192143&path-prefix=it,"Il kelpie è un demone acquatico che spesso assume la forma di un cavallo per attirare le sue vittime. È estremamente pericoloso e può trascinare le persone sott'acqua."
Bowtruckle,Insetto simile a un ramoscello che custodisce gli alberi,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/b/bc/Pickett_Animali_Fantastici.png/revision/latest?cb=20161104115325&path-prefix=it,"I bowtruckle sono creature pacifiche e timide che si nutrono di insetti. Sono molto difficili da individuare a causa del loro aspetto simile a un ramoscello e sono spesso utilizzati come guardiani di alberi preziosi."
Crup,Cane con coda biforcuta,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/3/31/Crup_AF.png/revision/latest?cb=20161104115300&path-prefix=it,"Il Crup è un cane magico originario dell'Inghilterra. È noto per la sua lealtà verso i maghi e la sua aggressività verso i Babbani. Ha una coda biforcuta distintiva."
Gnomo,Piccola creatura dispettosa da giardino,Mitologia europea (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/d/d4/Gnomo.jpg/revision/latest?cb=20090811204512&path-prefix=it,"Gli gnomi sono creature infestanti che vivono nei giardini dei maghi. Sono noti per la loro tendenza a causare caos e disordine."
Kappa,Demone acquatico giapponese,Mitologia giapponese (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/4/49/Kappa_concept_art.jpg/revision/latest?cb=20161104115314&path-prefix=it,"Il Kappa è un demone acquatico che vive in stagni e fiumi. È noto per la sua forza e la sua abilità nel wrestling. Può essere sconfitto offrendogli un cetriolo con inciso sopra il nome della persona che lo offre."
Billywig,Insetto blu elettrico che provoca levitazione,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/4/47/Billywig_AF.png/revision/latest?cb=20161104115257&path-prefix=it,"Il Billywig è un insetto originario dell'Australia. La sua puntura provoca levitazione e una sensazione di euforia. Le sue ali ruotano molto velocemente, rendendolo difficile da vedere."
Augurey,Uccello verde scuro che predice la pioggia,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/9/97/Augurey_AF.png/revision/latest?cb=20161104115249&path-prefix=it,"L'Augurey è un uccello irlandese dal piumaggio verde scuro e dall'aspetto malinconico. Il suo canto, un basso lamento, era ritenuto presagio di morte, ma in realtà annuncia semplicemente l'arrivo della pioggia."
Doxy,Fata pungente simile a un minuscolo drago,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/a/a8/Doxy_HP.png/revision/latest?cb=20161104115305&path-prefix=it,"Le Doxy sono creature simili a fate, ma con un aspetto più minaccioso, dotate di zanne affilate e pungiglioni velenosi. Infestano le case e sono difficili da eliminare."
Ghoul,Demone che infesta le case,Mitologia araba (adattato da J.K. Rowling),https://static.wikia.nocookie.net/harrypotter/images/3/37/Ghoul_HP.png/revision/latest?cb=20161104115311&path-prefix=it,"I Ghoul sono creature che infestano le case dei maghi, causando rumori e disordine. Non sono particolarmente pericolosi, ma possono essere fastidiosi."
Fwooper,Uccello dai colori vivaci con canto che causa follia,Creato da J.K. Rowling,https://static.wikia.nocookie.net/harrypotter/images/9/93/Fwooper_AF.png/revision/latest?cb,"Lo Fwooper è un uccello africano dal piumaggio sgargiante, che può essere arancione, rosa, verde lime o giallo. Sebbene inizialmente piacevole, il suo canto prolungato porta alla follia. Per questo motivo, i Fwooper vengono venduti con un Incantesimo Silenziatore, che deve essere rafforzato mensilmente. Le loro piume sono utilizzate per creare penne stravaganti."
